Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.57783e+07;1.17382e+07;1.14743e+07;1.27842e+07
200;1.53676e+07;1.17181e+07;1.16258e+07;1.37009e+07
300;1.53253e+07;1.15902e+07;1.11874e+07;1.67969e+07
400;1.54886e+07;1.21958e+07;1.34312e+07;1.914e+07
500;1.57115e+07;1.17467e+07;1.16698e+07;1.61066e+07
600;1.54883e+07;1.24267e+07;1.49032e+07;2.04604e+07
700;1.54004e+07;1.16998e+07;1.19533e+07;2.03499e+07
800;1.53475e+07;1.14997e+07;1.15191e+07;1.67672e+07
900;1.53235e+07;1.18763e+07;1.14381e+07;1.37288e+07
1000;1.53614e+07;1.16369e+07;1.12126e+07;1.80481e+07
1100;1.52376e+07;1.15192e+07;1.10355e+07;1.33148e+07
1200;1.54025e+07;1.19053e+07;1.18536e+07;1.46197e+07
1300;1.53816e+07;1.17333e+07;1.13597e+07;1.60705e+07
1400;1.54085e+07;1.15403e+07;1.11714e+07;2.0295e+07
1500;1.55055e+07;1.28855e+07;1.2686e+07;1.63184e+07
1600;1.53669e+07;1.17792e+07;1.17742e+07;1.37858e+07
1700;1.54425e+07;1.18326e+07;1.17381e+07;2.03251e+07
1800;1.52652e+07;1.16093e+07;1.12227e+07;1.52836e+07
1900;1.53171e+07;1.17843e+07;1.16932e+07;2.03153e+07
2000;1.52999e+07;1.16365e+07;1.1392e+07;1.38975e+07
2100;1.52436e+07;1.16143e+07;1.12813e+07;1.82008e+07
2200;1.54493e+07;1.153e+07;1.1181e+07;2.02974e+07
2300;1.54246e+07;1.19267e+07;1.18664e+07;1.82613e+07
2400;1.53349e+07;1.19749e+07;1.16194e+07;1.8298e+07
2500;1.53057e+07;1.15571e+07;1.1153e+07;2.03587e+07
2600;1.52091e+07;1.15531e+07;1.12652e+07;1.47663e+07
2700;1.52864e+07;1.19102e+07;1.18375e+07;1.68211e+07
2800;1.52565e+07;1.19602e+07;1.17932e+07;1.81762e+07
2900;1.52411e+07;1.17701e+07;1.12943e+07;1.81424e+07
3000;1.52776e+07;1.19271e+07;1.17022e+07;2.0305e+07
