Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;6.53252e+06;4.5004e+06;4.14821e+06;9.05097e+06
200;6.50007e+06;4.58733e+06;4.03466e+06;9.13063e+06
300;6.60474e+06;4.76815e+06;4.78305e+06;4.02002e+06
400;6.59598e+06;4.75345e+06;4.68642e+06;6.97932e+06
500;6.58846e+06;4.54991e+06;4.32519e+06;6.89003e+06
600;6.59707e+06;4.8643e+06;4.81706e+06;9.03668e+06
700;6.63699e+06;4.82888e+06;4.68292e+06;9.05051e+06
800;6.57676e+06;4.79181e+06;4.7315e+06;5.59307e+06
900;6.60088e+06;4.91391e+06;4.67067e+06;5.60108e+06
1000;6.47533e+06;4.59406e+06;4.11627e+06;6.9263e+06
1100;6.553e+06;4.79727e+06;4.76908e+06;5.622e+06
1200;6.56711e+06;4.82232e+06;4.82804e+06;9.04717e+06
1300;6.54915e+06;4.6599e+06;4.6902e+06;9.09745e+06
1400;6.57248e+06;4.82405e+06;4.84874e+06;9.06463e+06
1500;6.55145e+06;4.9306e+06;4.8909e+06;9.07514e+06
1600;6.54964e+06;4.94263e+06;4.84384e+06;6.94898e+06
1700;6.52629e+06;4.79388e+06;4.84515e+06;4.13582e+06
1800;6.55693e+06;4.94545e+06;4.85452e+06;9.06605e+06
1900;6.56034e+06;4.91126e+06;4.92776e+06;9.13024e+06
2000;6.50133e+06;4.68371e+06;4.48118e+06;9.0549e+06
2100;6.51932e+06;4.85269e+06;4.83905e+06;5.70667e+06
2200;6.41958e+06;4.63206e+06;4.25826e+06;5.67737e+06
2300;6.49294e+06;4.8654e+06;4.89448e+06;9.07691e+06
2400;6.46435e+06;4.70231e+06;4.22532e+06;9.10058e+06
2500;6.49893e+06;4.87406e+06;4.9384e+06;6.98264e+06
2600;6.53022e+06;4.90479e+06;4.90895e+06;9.09429e+06
2700;6.46817e+06;4.93772e+06;4.86977e+06;9.06559e+06
2800;6.54026e+06;4.80755e+06;4.76284e+06;9.08109e+06
2900;6.5079e+06;4.88442e+06;4.9213e+06;9.08897e+06
3000;6.52053e+06;4.91134e+06;4.95947e+06;6.98339e+06
