Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;3.67195e+06;2.62962e+06;2.54842e+06;4.7851e+06
200;3.56705e+06;2.63976e+06;2.61572e+06;3.89825e+06
300;3.53314e+06;2.61423e+06;2.49395e+06;4.79288e+06
400;3.506e+06;2.55622e+06;2.43019e+06;4.60827e+06
500;3.51025e+06;2.60907e+06;2.50063e+06;4.20439e+06
600;3.47491e+06;2.57943e+06;2.53088e+06;3.82442e+06
700;3.49756e+06;2.63738e+06;2.52479e+06;4.69747e+06
800;3.46224e+06;2.55371e+06;2.4607e+06;4.19498e+06
900;3.50832e+06;2.63917e+06;2.58083e+06;4.62922e+06
1000;3.52364e+06;2.9908e+06;2.75261e+06;3.91257e+06
1100;3.45933e+06;2.64022e+06;2.59139e+06;4.35664e+06
1200;3.49685e+06;2.65612e+06;2.63366e+06;4.85368e+06
1300;3.44355e+06;2.62633e+06;2.57782e+06;4.46104e+06
1400;3.49047e+06;2.65402e+06;2.60783e+06;4.40497e+06
1500;3.43175e+06;2.60862e+06;2.49884e+06;4.30398e+06
1600;3.27813e+06;2.57623e+06;2.56609e+06;4.33695e+06
1700;3.49903e+06;2.65876e+06;2.61921e+06;3.91049e+06
1800;3.4859e+06;2.67767e+06;2.68297e+06;4.61695e+06
1900;3.4602e+06;2.67453e+06;2.65134e+06;3.89192e+06
2000;3.42381e+06;2.67692e+06;2.61347e+06;4.55743e+06
2100;3.43354e+06;2.67946e+06;2.65718e+06;4.69408e+06
2200;3.41253e+06;2.68435e+06;2.64442e+06;4.9017e+06
2300;3.40837e+06;2.74902e+06;2.7327e+06;4.09462e+06
2400;3.41732e+06;2.67867e+06;2.67536e+06;4.29291e+06
2500;3.41554e+06;2.71356e+06;2.7164e+06;4.1245e+06
2600;3.43513e+06;2.71469e+06;2.7505e+06;4.11569e+06
2700;3.4019e+06;2.6924e+06;2.69184e+06;4.42752e+06
2800;3.39202e+06;2.74303e+06;2.78278e+06;4.54232e+06
2900;3.19757e+06;2.60805e+06;2.68886e+06;5.00681e+06
3000;3.43465e+06;2.73179e+06;2.77652e+06;4.291e+06
