Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;3.55938e+06;2.5459e+06;2.4593e+06;3.16532e+06
200;4.12647e+06;2.9004e+06;2.11811e+06;3.44475e+06
300;2.78419e+06;2.10754e+06;2.06934e+06;3.13096e+06
400;2.88565e+06;2.12314e+06;2.68894e+06;4.53537e+06
500;3.22266e+06;2.31725e+06;2.18085e+06;3.88053e+06
600;3.11642e+06;2.25309e+06;2.47183e+06;5.17565e+06
700;4.08455e+06;2.51608e+06;2.92058e+06;4.31649e+06
800;3.08956e+06;2.28762e+06;3.87451e+06;3.86093e+06
900;4.70838e+06;3.74942e+06;2.24559e+06;4.09508e+06
1000;3.01978e+06;2.28685e+06;2.24615e+06;4.33203e+06
1100;2.9409e+06;2.16735e+06;2.1396e+06;3.67563e+06
1200;2.82006e+06;2.17928e+06;2.13742e+06;3.30927e+06
1300;2.80603e+06;2.19609e+06;2.18874e+06;3.85419e+06
1400;2.8091e+06;2.19579e+06;2.29755e+06;3.32528e+06
1500;2.80923e+06;2.27458e+06;2.23073e+06;3.10498e+06
1600;2.81146e+06;2.28245e+06;2.2175e+06;3.53663e+06
1700;2.78676e+06;2.17872e+06;2.11528e+06;3.39638e+06
1800;2.80541e+06;2.20664e+06;2.1914e+06;3.55198e+06
1900;2.82348e+06;2.20154e+06;2.19042e+06;3.55853e+06
2000;2.80665e+06;2.18724e+06;2.23023e+06;3.11694e+06
2100;2.76762e+06;2.19224e+06;2.20369e+06;3.90428e+06
2200;2.74871e+06;2.22818e+06;2.21387e+06;3.4469e+06
2300;2.77002e+06;2.2031e+06;2.2077e+06;3.27583e+06
2400;2.76849e+06;2.27621e+06;2.30207e+06;3.89362e+06
2500;2.75905e+06;2.2627e+06;2.28768e+06;3.56416e+06
2600;2.73351e+06;2.28582e+06;2.27475e+06;3.43678e+06
2700;2.71691e+06;2.22494e+06;2.19608e+06;2.99905e+06
2800;2.74742e+06;2.27435e+06;2.36459e+06;3.56085e+06
2900;2.71318e+06;2.2315e+06;2.19435e+06;4.09051e+06
3000;2.70927e+06;2.21559e+06;2.25141e+06;3.51586e+06
