Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.40109e+06;1.79962e+06;1.7495e+06;3.06424e+06
200;2.33972e+06;1.63762e+06;1.5848e+06;3.14805e+06
300;2.17404e+06;1.64372e+06;1.6139e+06;2.90728e+06
400;2.19509e+06;1.64747e+06;1.64833e+06;2.67927e+06
500;2.24237e+06;1.68239e+06;1.63203e+06;3.21636e+06
600;2.20525e+06;1.69125e+06;1.68513e+06;3.12213e+06
700;2.19068e+06;1.69268e+06;1.63692e+06;3.14209e+06
800;2.18665e+06;1.70562e+06;1.7286e+06;2.50712e+06
900;2.17263e+06;1.66437e+06;1.65715e+06;2.83079e+06
1000;2.1583e+06;1.68492e+06;1.66144e+06;2.41608e+06
1100;2.16425e+06;1.72749e+06;1.72677e+06;3.18529e+06
1200;2.16675e+06;1.69134e+06;1.69428e+06;2.58573e+06
1300;2.15167e+06;1.68772e+06;1.6188e+06;2.72989e+06
1400;2.29952e+06;1.92341e+06;1.85733e+06;2.97245e+06
1500;2.17078e+06;1.75955e+06;1.95618e+06;2.69297e+06
1600;2.23305e+06;1.94383e+06;1.71053e+06;2.88772e+06
1700;2.16568e+06;1.72079e+06;1.72605e+06;2.90728e+06
1800;2.10506e+06;1.75715e+06;1.73283e+06;3.31754e+06
1900;2.44977e+06;1.84647e+06;2.42185e+06;2.77673e+06
2000;2.1079e+06;1.6998e+06;1.71395e+06;3.12647e+06
2100;2.12398e+06;1.74458e+06;1.74908e+06;3.15855e+06
2200;2.137e+06;1.7344e+06;1.7733e+06;2.79226e+06
2300;2.26926e+06;2.13157e+06;1.87549e+06;3.2409e+06
2400;2.11624e+06;1.77915e+06;1.80313e+06;2.46794e+06
2500;2.10559e+06;1.80845e+06;1.82875e+06;2.74573e+06
2600;2.12415e+06;1.75364e+06;1.72897e+06;2.63383e+06
2700;2.31788e+06;1.83641e+06;1.86013e+06;3.35752e+06
2800;2.11047e+06;1.80491e+06;1.84939e+06;3.16199e+06
2900;2.08369e+06;1.79706e+06;1.81666e+06;2.90949e+06
3000;2.07788e+06;1.84907e+06;1.98359e+06;3.5964e+06
