Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.09703e+06;1.70579e+06;1.6749e+06;1.89816e+06
200;2.07353e+06;1.66192e+06;1.64551e+06;1.86032e+06
300;2.4823e+06;2.02724e+06;2.02084e+06;2.12555e+06
400;2.43953e+06;2.01302e+06;2.01538e+06;2.10627e+06
500;2.47019e+06;2.03508e+06;2.03946e+06;2.19951e+06
600;2.45599e+06;2.04041e+06;2.05082e+06;2.40853e+06
700;2.46675e+06;2.08052e+06;2.0677e+06;2.74996e+06
800;2.82494e+06;2.0839e+06;2.05035e+06;2.07368e+06
900;2.44255e+06;2.03251e+06;2.05521e+06;1.96754e+06
1000;2.42098e+06;2.04596e+06;2.06151e+06;1.87964e+06
1100;2.46538e+06;2.05585e+06;2.08003e+06;2.1179e+06
1200;2.45248e+06;2.06825e+06;2.10778e+06;2.08937e+06
1300;2.46734e+06;2.0766e+06;2.09547e+06;2.23552e+06
1400;2.46131e+06;2.08353e+06;2.10171e+06;2.60103e+06
1500;2.40841e+06;2.06714e+06;2.10447e+06;2.20192e+06
1600;2.4138e+06;2.05374e+06;2.07645e+06;2.21795e+06
1700;2.42206e+06;2.08601e+06;2.11585e+06;1.93765e+06
1800;2.4459e+06;2.09664e+06;2.14916e+06;2.22219e+06
1900;2.4432e+06;2.12523e+06;2.14526e+06;2.31456e+06
2000;2.40141e+06;2.1071e+06;2.13996e+06;2.06849e+06
2100;2.39672e+06;2.10472e+06;2.14378e+06;2.15093e+06
2200;2.3988e+06;2.09093e+06;2.13483e+06;1.96124e+06
2300;2.40114e+06;2.11976e+06;2.17078e+06;2.3916e+06
2400;2.39657e+06;2.13952e+06;2.15399e+06;2.42162e+06
2500;2.401e+06;2.11628e+06;2.16567e+06;2.05542e+06
2600;2.39341e+06;2.13045e+06;2.19338e+06;2.0324e+06
2700;2.38084e+06;2.12873e+06;2.18543e+06;2.63674e+06
2800;2.37122e+06;2.11271e+06;2.17614e+06;2.25548e+06
2900;2.38241e+06;2.13689e+06;2.1878e+06;2.30552e+06
3000;2.39058e+06;2.13924e+06;2.21895e+06;2.35344e+06
