Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.14284e+06;941317;941412;989013
200;1.11579e+06;929454;915996;912808
300;1.10777e+06;939375;953429;916254
400;1.09959e+06;945567;954871;950383
500;1.09725e+06;952438;960921;873254
600;1.0968e+06;960229;975000;1.04044e+06
700;1.12107e+06;953883;960467;1.05883e+06
800;1.09493e+06;990488;993508;1.14183e+06
900;1.09228e+06;974462;1.00603e+06;902429
1000;1.0913e+06;971921;1.00318e+06;1.06194e+06
1100;1.08873e+06;985725;1.00987e+06;1.18625e+06
1200;1.08045e+06;991988;1.02043e+06;1.08597e+06
1300;1.08335e+06;993275;1.02365e+06;1.14427e+06
1400;1.07134e+06;994616;1.03265e+06;1.12603e+06
1500;1.07405e+06;999675;1.03225e+06;961846
1600;1.07831e+06;1.01718e+06;1.05393e+06;968867
1700;1.09555e+06;1.023e+06;1.06957e+06;1.16648e+06
1800;1.05712e+06;1.01305e+06;1.05838e+06;1.01205e+06
1900;1.073e+06;1.02005e+06;1.06355e+06;1.20078e+06
2000;1.08537e+06;1.0275e+06;1.07133e+06;1.10007e+06
2100;1.06127e+06;1.03297e+06;1.06641e+06;1.05329e+06
2200;1.0621e+06;1.03973e+06;1.09694e+06;1.2738e+06
2300;1.05311e+06;1.04354e+06;1.09579e+06;1.02921e+06
2400;1.05029e+06;1.04418e+06;1.10294e+06;1.20795e+06
2500;1.04389e+06;1.04625e+06;1.12624e+06;1.27641e+06
2600;1.042e+06;1.05359e+06;1.11579e+06;1.33385e+06
2700;1.04843e+06;1.06338e+06;1.129e+06;1.30692e+06
2800;1.0486e+06;1.07341e+06;1.13494e+06;1.08587e+06
2900;1.03589e+06;1.08183e+06;1.17302e+06;1.14759e+06
3000;1.06872e+06;1.08389e+06;1.15209e+06;1.03218e+06
