Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.09303e+06;1.6788e+06;1.67007e+06;1.76932e+06
200;2.04135e+06;1.66345e+06;1.66552e+06;1.93437e+06
300;2.02383e+06;1.65948e+06;1.66828e+06;1.63649e+06
400;2.06552e+06;1.67665e+06;1.67337e+06;1.56079e+06
500;2.00467e+06;1.64618e+06;1.65704e+06;1.9601e+06
600;2.00671e+06;1.66683e+06;1.683e+06;1.33182e+06
700;2.03844e+06;1.69769e+06;1.71172e+06;1.65134e+06
800;1.97664e+06;1.65729e+06;1.65166e+06;1.5249e+06
900;1.97748e+06;1.68819e+06;1.70259e+06;1.79603e+06
1000;2.01131e+06;1.70103e+06;1.70075e+06;1.96452e+06
1100;1.98174e+06;1.71515e+06;1.7018e+06;2.06475e+06
1200;1.97634e+06;1.70144e+06;1.72788e+06;2.09873e+06
1300;1.96312e+06;1.71497e+06;1.72675e+06;1.78057e+06
1400;1.96342e+06;1.68725e+06;1.72174e+06;1.78891e+06
1500;1.97239e+06;1.71101e+06;1.74008e+06;2.06979e+06
1600;1.9671e+06;1.71665e+06;1.74042e+06;1.79849e+06
1700;1.98915e+06;1.73556e+06;1.77792e+06;2.15717e+06
1800;2.00558e+06;1.72831e+06;1.75535e+06;1.56012e+06
1900;1.96255e+06;1.72226e+06;1.74915e+06;1.59548e+06
2000;1.96346e+06;1.72983e+06;1.77393e+06;1.89644e+06
2100;1.9702e+06;1.75044e+06;1.79217e+06;1.98659e+06
2200;1.94958e+06;1.73724e+06;1.7943e+06;1.91443e+06
2300;1.98306e+06;1.76201e+06;1.80503e+06;1.81425e+06
2400;1.97483e+06;1.77757e+06;1.81841e+06;1.83178e+06
2500;1.95966e+06;1.74826e+06;1.80681e+06;1.704e+06
2600;1.94673e+06;1.76577e+06;1.82535e+06;2.07207e+06
2700;1.92845e+06;1.76192e+06;1.81853e+06;1.87687e+06
2800;1.93146e+06;1.77652e+06;1.8382e+06;2.03335e+06
2900;1.9339e+06;1.78926e+06;1.8546e+06;1.89609e+06
3000;1.93239e+06;1.79888e+06;1.86115e+06;1.79893e+06
