Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.59495e+06;1.30032e+06;1.29627e+06;1.29984e+06
200;1.56615e+06;1.29332e+06;1.2976e+06;1.42202e+06
300;1.57918e+06;1.29938e+06;1.30456e+06;1.39442e+06
400;1.55184e+06;1.30675e+06;1.31435e+06;1.2117e+06
500;1.5507e+06;1.31038e+06;1.32248e+06;1.37054e+06
600;1.56981e+06;1.32105e+06;1.33136e+06;1.55342e+06
700;1.54367e+06;1.31082e+06;1.32565e+06;1.30257e+06
800;1.54058e+06;1.30884e+06;1.33017e+06;1.51438e+06
900;1.54105e+06;1.36648e+06;1.35398e+06;1.23702e+06
1000;1.53885e+06;1.35447e+06;1.3588e+06;1.47481e+06
1100;1.53128e+06;1.32949e+06;1.33715e+06;1.57914e+06
1200;1.53564e+06;1.33976e+06;1.36286e+06;1.50478e+06
1300;1.52089e+06;1.33899e+06;1.36154e+06;1.67275e+06
1400;1.52674e+06;1.35288e+06;1.38727e+06;1.30642e+06
1500;1.5152e+06;1.35593e+06;1.39316e+06;1.60752e+06
1600;1.51911e+06;1.36305e+06;1.39145e+06;1.48474e+06
1700;1.50944e+06;1.36972e+06;1.40442e+06;1.4662e+06
1800;1.5388e+06;1.37563e+06;1.42825e+06;1.6042e+06
1900;1.51643e+06;1.36895e+06;1.40193e+06;1.59409e+06
2000;1.50163e+06;1.36623e+06;1.41481e+06;1.33996e+06
2100;1.50834e+06;1.39119e+06;1.43636e+06;1.1675e+06
2200;1.50068e+06;1.39173e+06;1.43953e+06;1.4773e+06
2300;1.50568e+06;1.4058e+06;1.45809e+06;1.17129e+06
2400;1.49266e+06;1.3901e+06;1.4384e+06;1.3673e+06
2500;1.49965e+06;1.40287e+06;1.46136e+06;1.79854e+06
2600;1.49498e+06;1.40931e+06;1.50329e+06;1.72229e+06
2700;1.49068e+06;1.4358e+06;1.48442e+06;1.60274e+06
2800;1.4889e+06;1.4198e+06;1.48374e+06;1.85771e+06
2900;1.48011e+06;1.42395e+06;1.48639e+06;1.59836e+06
3000;1.4867e+06;1.43712e+06;1.51665e+06;1.36735e+06
