Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;450554;363729;370650;281742
200;443342;368142;371116;466329
300;441917;361508;359358;339454
400;434712;374304;385292;424396
500;435421;384150;399350;338217
600;439896;386200;395467;424546
700;430229;391346;407392;492496
800;426854;396829;414233;413654
900;428083;409346;424554;328892
1000;420579;405266;425925;494346
1100;418646;407546;431638;425354
1200;418487;418637;444817;500638
1300;420200;414971;453663;607821
1400;412467;429492;459550;442050
1500;411317;430966;461021;403608
1600;407583;439733;481633;522496
1700;400421;439158;476658;421038
1800;430992;447921;488787;561992
1900;395729;452071;491450;474754
2000;398208;450754;496708;538404
2100;398417;467537;518417;495462
2200;389229;465021;516350;547525
2300;390067;477754;534733;498134
2400;385638;470817;526000;479008
2500;383650;483083;546137;592496
2600;383867;490838;557566;562800
2700;379500;489950;554375;466421
2800;375021;497675;563983;649892
2900;374208;507192;569558;546441
3000;375942;503737;563696;527921
